paper,pose,angle,bx,act,phi,currentBoxArea,candidateTipArea,candidateArmArea
0.2,0.191,125.75934071873282,-33,0,155,0,0,0
0.2,0.192,126.04241039696066,-33,0,155,0,0,0
0.2,0.193,126.3254800751885,-33,0,155,0,0,0
0.2,0.194,126.60854975341631,-33,0,155,0,0,0
0.2,0.195,126.89161943164416,-33,0,155,0,0,0
0.2,0.196,127.17468910987198,-33,0,155,0,0,0
0.2,0.197,127.45775878809982,-33,0,155,0,0,0
0.2,0.198,127.74082846632766,-33,0,155,0,0,0
0.2,0.199,128.0238981445555,-33,0,155,0,0,0
0.2,0.2,128.30696782278332,-33,0,155,0,0,0
0.2,0.201,128.59003750101115,-33,0,155,0,0,0
0.2,0.202,128.87310717923899,-33,0,155,0,0,0
0.2,0.203,129.15617685746682,-33,0,155,0,0,0
0.2,0.204,129.43924653569465,-33,0,155,0,0,0
0.2,0.205,129.72231621392248,-33,0,155,0,0,0
0.2,0.206,130.00538589215031,-33,0,155,0,0,0
0.2,0.207,130.28845557037815,-33,0,155,0,0,0
0.2,0.208,130.57152524860595,-33,0,155,0,0,0
0.2,0.209,130.8545949268338,-33,0,155,0,0,0
0.2,0.21,131.13766460506167,-33,0,155,0,0,0
0.2,0.211,131.42073428328948,-33,0,155,0,0,0
0.2,0.212,131.7038039615173,-33,0,155,0,0,0
0.2,0.213,131.98687363974517,-33,0,155,0,0,0
0.2,0.214,132.26994331797297,-33,0,155,0,0,0
0.2,0.215,132.55301299620083,-33,0,155,0,0,0
0.2,0.216,132.83608267442864,-33,0,155,0,0,0
0.2,0.217,133.11915235265647,-33,0,155,0,0,0
0.2,0.218,133.40222203088433,-33,0,155,0,0,0
0.2,0.219,133.68529170911216,-33,0,155,0,0,0
0.2,0.22,133.96836138734,-33,0,155,0,0,0
0.2,0.221,134.2514310655678,-33,0,155,0,0,0
0.2,0.222,134.53450074379566,-33,0,155,0,0,0
0.2,0.223,134.81757042202346,-33,0,155,0,0,0
0.2,0.224,135.10064010025133,-33,0,155,0,0,0
0.2,0.225,135.38370977847913,-33,0,155,0,0,0
0.2,0.226,135.666779456707,-33,0,155,0,0,0
0.2,0.227,135.9498491349348,-33,0,155,0,0,0
0.2,0.228,136.23291881316266,-33,0,155,0,0,0
